city,station,lat,long,datasource,obs.period,date,pollutant,concentration,unit
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-14,PM2.5,7.009695402,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-15,PM2.5,6.119587052,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-16,PM2.5,8.747584823,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-17,PM2.5,5.084625483,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-18,PM2.5,10.61266777,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-19,PM2.5,8.656418188,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-20,PM2.5,0.172132743,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-21,PM2.5,18.24719101,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-22,PM2.5,18.78767897,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-23,PM2.5,14.30989609,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-24,PM2.5,26.00884277,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-25,PM2.5,12.70973669,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-26,PM2.5,11.50822938,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-27,PM2.5,15.76808755,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-28,PM2.5,11.92732104,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-29,PM2.5,8.471972319,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-30,PM2.5,17.23485402,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-08-31,PM2.5,4.54388595,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-01,PM2.5,2.822366756,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-02,PM2.5,0.946257687,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-03,PM2.5,3.237541434,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-04,PM2.5,3.745302569,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-05,PM2.5,6.253091217,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-09,PM2.5,19.05918278,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-10,PM2.5,7.626690254,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-09-11,PM2.5,3.344224156,ug/m3
