city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-30,PM2.5,7.26126463700234,ug/m3,NA,00:00:00,2017-10-30 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-30,PM2.5,7.22723183391003,ug/m3,NA,00:00:00,2017-10-30 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-30,PM2.5,6.56626593806922,ug/m3,NA,00:00:00,2017-10-30 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-31,PM2.5,11.4923777777778,ug/m3,NA,00:00:00,2017-10-31 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-31,PM2.5,9.212,ug/m3,NA,00:00:00,2017-10-31 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-31,PM2.5,9.72842920353982,ug/m3,NA,00:00:00,2017-10-31 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-31,PM2.5,9.17634146341463,ug/m3,NA,00:00:00,2017-10-31 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-01,PM2.5,8.48664930555556,ug/m3,NA,00:00:00,2017-11-01 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-01,PM2.5,6.94104166666667,ug/m3,NA,00:00:00,2017-11-01 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-11-01,PM2.5,7.26151041666667,ug/m3,NA,00:00:00,2017-11-01 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-11-01,PM2.5,10.140974025974,ug/m3,NA,00:00:00,2017-11-01 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-02,PM2.5,8.39367417677643,ug/m3,NA,00:00:00,2017-11-02 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-02,PM2.5,5.64930675909879,ug/m3,NA,00:00:00,2017-11-02 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-11-02,PM2.5,5.8169723183391,ug/m3,NA,00:00:00,2017-11-02 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-11-02,PM2.5,4.16875305623472,ug/m3,NA,00:00:00,2017-11-02 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-03,PM2.5,7.09716117216117,ug/m3,NA,00:00:00,2017-11-03 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-03,PM2.5,5.67673992673993,ug/m3,NA,00:00:00,2017-11-03 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-11-03,PM2.5,5.86974358974359,ug/m3,NA,00:00:00,2017-11-03 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-11-03,PM2.5,5.40615384615385,ug/m3,NA,00:00:00,2017-11-03 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-04,PM2.5,2.9434168157424,ug/m3,NA,00:00:00,2017-11-04 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
